farm_size_hectares,state_factor,soil_organic_carbon_pct,baseline_yield_ton_per_hectare,practice_score,target_co2e
3.7,0.905,0.71,1.78,1.799,5.225
4.96,0.916,0.93,1.1,0.815,3.24
0.63,0.936,1.27,2.91,0.819,0.56
4.55,0.901,1.51,3.44,1.046,5.536
5.29,0.961,0.44,1.34,2.01,8.572
4.54,1.031,1.1,4.41,1.119,7.577
4.65,1.011,1.59,3.02,1.739,9.375
1.64,0.952,0.42,1.81,0.592,0.691
3.68,0.966,0.86,1.73,0.907,2.958
3.74,1.01,0.56,3.55,0.71,3.308
5.45,1.015,1.14,3.4,2.001,14.074
1.65,0.906,0.77,1.94,0.801,1.191
4.88,0.957,1.28,2.38,2.138,8.995
1.82,0.944,1.14,1.92,1.511,2.457
2.5,0.939,1.8,2.78,0.573,1.308
1.05,1.013,1.49,2.48,0.521,0.484
5.48,0.995,1.76,4.01,0.422,3.597
3.91,0.997,0.7,3.24,0.612,2.733
2.77,1.072,1.61,1.92,1.351,3.61
5.06,1.057,0.75,3.24,1.557,9.543
4.31,0.997,1.47,2.86,0.401,1.821
0.6,1.067,1.62,3.91,0.984,0.792
4.89,1.07,0.43,2.7,0.532,2.707
4.33,0.923,1.01,2.92,0.904,4.006
2.62,0.938,1.11,3.55,0.782,2.459
5.48,1.017,0.96,2.81,0.63,3.505
2.19,1.006,0.65,1.77,0.535,1.051
1.64,1.063,1.59,1.25,0.852,1.438
1.57,0.924,1.7,3.0,1.298,2.306
4.54,0.934,0.45,2.51,1.205,4.456
4.15,1.021,1.78,1.34,1.165,4.594
4.81,0.945,0.59,2.57,1.202,4.877
1.75,1.066,0.96,4.01,1.446,3.682
5.5,1.05,1.75,4.24,2.013,17.637
2.93,0.938,0.9,1.21,1.12,2.859
1.83,1.041,0.98,2.48,2.219,4.015
3.28,1.029,0.53,2.04,2.241,6.4
3.21,1.035,0.39,3.04,1.355,4.867
1.29,1.073,0.42,1.65,1.531,1.83
1.68,0.922,1.64,1.86,1.53,2.25
2.6,1.005,1.08,4.27,0.788,3.044
1.69,0.971,1.31,2.05,1.001,1.577
0.86,0.982,1.8,4.49,0.539,0.595
1.83,1.068,1.62,4.08,1.102,3.13
4.67,1.027,1.22,4.46,1.643,11.317
4.59,0.954,1.3,4.29,0.655,4.075
1.04,1.0,0.71,3.12,1.763,1.936
3.67,0.948,1.03,4.17,2.008,9.871
2.62,0.95,0.31,3.7,1.611,5.013
4.21,0.999,0.94,1.03,0.543,2.137
5.02,0.998,1.55,3.04,0.681,3.859
2.04,1.062,1.49,4.01,2.108,6.717
1.75,0.919,1.47,4.09,1.172,2.854
1.27,1.067,1.6,4.42,1.94,4.102
0.62,1.033,0.8,4.26,1.924,1.861
4.55,0.948,1.48,1.38,2.057,8.278
1.61,1.047,0.99,2.07,1.911,2.734
0.62,0.935,0.79,4.03,2.237,1.739
3.71,0.972,1.77,2.88,2.185,8.765
5.35,0.932,1.74,1.93,0.606,2.814
4.14,0.956,1.21,2.79,1.132,4.698
1.77,1.028,0.3,4.24,1.423,3.546
4.21,1.021,0.85,1.24,1.662,6.14
2.07,1.053,1.38,2.05,0.988,1.928
2.51,0.953,0.49,2.47,2.187,4.582
5.01,1.011,0.75,2.92,0.401,2.049
2.65,1.004,1.28,2.63,1.24,3.159
2.87,1.062,1.49,1.59,0.561,1.577
3.66,0.96,1.53,3.63,1.678,8.126
1.5,0.904,0.67,2.66,2.015,2.431
2.57,1.013,0.59,3.44,1.339,4.141
3.78,0.901,1.43,3.7,0.603,2.868
1.38,1.072,1.08,1.18,0.873,1.27
2.78,1.044,1.3,4.46,1.531,6.689
4.96,1.01,1.38,2.77,1.978,10.429
4.99,1.034,1.01,1.91,0.87,4.003
4.33,0.994,1.24,1.96,0.547,2.04
1.86,0.958,1.11,1.48,0.839,1.399
4.03,0.912,0.91,2.9,1.19,4.507
2.6,1.063,1.18,3.43,2.028,7.26
2.4,0.901,0.83,3.64,2.022,5.909
2.6,1.035,1.12,3.11,0.819,2.44
2.68,0.905,0.8,3.38,1.168,3.326
